[setup] method=GRPO model=Qwen3.5-4B mask=15 train=32 eval=32 world=4 global_batch=32 generations=8 max_steps=100 max_turns=45
[sampling] train_temperature=1.0 train_top_p=1.0 train_top_k=-1 eval_temperature=0.7 eval_top_p=0.8 eval_top_k=20
[optimization] learning_rate=1e-6 beta=0.001 clip=0.2 max_policy_examples_per_step=512 raw_policy_logprobs=true
[train] step=64 reward=0.632812 solved=162/256 avg_turns=15.1523 examples=3879 used=3584 drop=295 kl=0.204407 clip=0.018101 sec=1109.1
[train] step=65 reward=0.652344 solved=167/256 avg_turns=15.1797 examples=3886 used=3584 drop=302 kl=0.180610 clip=0.017988 sec=1105.9
[train] step=66 reward=0.640625 solved=164/256 avg_turns=15.1172 examples=3870 used=3584 drop=286 kl=0.162535 clip=0.012886 sec=1144.6
[train] step=67 reward=0.621094 solved=159/256 avg_turns=15.0977 examples=3865 used=3584 drop=281 kl=0.157702 clip=0.010715 sec=1146.0
[train] step=68 reward=0.644531 solved=165/256 avg_turns=15.0859 examples=3862 used=3584 drop=278 kl=0.146711 clip=0.010346 sec=1096.9
[train] step=69 reward=0.640625 solved=164/256 avg_turns=15.0820 examples=3861 used=3584 drop=277 kl=0.150541 clip=0.013600 sec=1148.9
[train] step=70 reward=0.628906 solved=161/256 avg_turns=15.1172 examples=3870 used=3584 drop=286 kl=0.161791 clip=0.012162 sec=1105.6
[train] step=71 reward=0.621094 solved=159/256 avg_turns=15.0781 examples=3860 used=3584 drop=276 kl=0.185630 clip=0.014717 sec=1126.9
[train] step=72 reward=0.644531 solved=165/256 avg_turns=15.1172 examples=3870 used=3584 drop=286 kl=0.186292 clip=0.010411 sec=1092.4
[train] step=73 reward=0.640625 solved=164/256 avg_turns=15.1406 examples=3876 used=3584 drop=292 kl=0.181865 clip=0.012109 sec=1094.9
[train] step=74 reward=0.652344 solved=167/256 avg_turns=15.1484 examples=3878 used=3584 drop=294 kl=0.216025 clip=0.010986 sec=1099.1
[train] step=75 reward=0.636719 solved=163/256 avg_turns=15.1367 examples=3875 used=3584 drop=291 kl=0.177636 clip=0.021293 sec=1090.7
[train] step=76 reward=0.660156 solved=169/256 avg_turns=15.1406 examples=3876 used=3584 drop=292 kl=0.184617 clip=0.016214 sec=1094.9
[train] step=77 reward=0.628906 solved=161/256 avg_turns=15.0977 examples=3865 used=3584 drop=281 kl=0.205736 clip=0.011126 sec=1091.3
[train] step=78 reward=0.656250 solved=168/256 avg_turns=15.1250 examples=3872 used=3584 drop=288 kl=0.216576 clip=0.019776 sec=1106.0
